1.8400 1.9100 1.9700 2.0300 2.0900 2.1416 2.1600
1.9100 1.9700 2.0300 2.0900 2.1416 2.1998 2.2200
1.9700 2.0300 2.0900 2.1416 2.1998 2.2549 2.2800
2.0300 2.0900 2.1416 2.1998 2.2549 2.3095 2.3400
2.0900 2.1416 2.1998 2.2549 2.3095 2.3739 2.4100
2.1416 2.1998 2.2549 2.3095 2.3739 2.4348 2.4700
2.1998 2.2549 2.3095 2.3739 2.4348 2.5055 2.5300
2.2549 2.3095 2.3739 2.4348 2.5055 2.5846 2.5900
2.3095 2.3739 2.4348 2.5055 2.5846 2.6646 2.6500
2.3739 2.4348 2.5055 2.5846 2.6646 2.7611 2.7100
2.4348 2.5055 2.5846 2.6646 2.7611 2.8613 2.7700
2.5055 2.5846 2.6646 2.7611 2.8613 2.9684 2.8200
2.5846 2.6646 2.7611 2.8613 2.9684 3.0892 2.8800
2.6646 2.7611 2.8613 2.9684 3.0892 3.2059 2.9400
2.7611 2.8613 2.9684 3.0892 3.2059 3.3289 2.9900
2.8613 2.9684 3.0892 3.2059 3.3289 3.4485 3.0500
2.9684 3.0892 3.2059 3.3289 3.4485 3.5516 3.1000
3.0892 3.2059 3.3289 3.4485 3.5516 3.6470 3.1500
3.2059 3.3289 3.4485 3.5516 3.6470 3.7128 3.2000
3.3289 3.4485 3.5516 3.6470 3.7128 3.7489 3.2500
3.4485 3.5516 3.6470 3.7128 3.7489 3.7548 3.3000
3.5516 3.6470 3.7128 3.7489 3.7548 3.7101 3.3500
3.6470 3.7128 3.7489 3.7548 3.7101 3.6236 3.3900
3.7128 3.7489 3.7548 3.7101 3.6236 3.4803 3.4400
3.7489 3.7548 3.7101 3.6236 3.4803 3.2655 3.4800
3.7548 3.7101 3.6236 3.4803 3.2655 2.9766 3.5200
3.7101 3.6236 3.4803 3.2655 2.9766 2.5759 3.5600
3.6236 3.4803 3.2655 2.9766 2.5759 2.0392 3.6000
3.4803 3.2655 2.9766 2.5759 2.0392 1.3360 3.6400
3.2655 2.9766 2.5759 2.0392 1.3360 0.4510 3.6700
2.9766 2.5759 2.0392 1.3360 0.4510 -0.5057 3.7100
2.5759 2.0392 1.3360 0.4510 -0.5057 -1.3162 3.7400
2.0392 1.3360 0.4510 -0.5057 -1.3162 -1.7512 3.7700
1.3360 0.4510 -0.5057 -1.3162 -1.7512 -1.6884 3.8000
0.4510 -0.5057 -1.3162 -1.7512 -1.6884 -1.1041 3.8300
-0.5057 -1.3162 -1.7512 -1.6884 -1.1041 -0.0818 3.8500
-1.3162 -1.7512 -1.6884 -1.1041 -0.0818 1.2137 3.8700
-1.7512 -1.6884 -1.1041 -0.0818 1.2137 2.2777 3.8900
-1.6884 -1.1041 -0.0818 1.2137 2.2777 2.7068 3.9100
-1.1041 -0.0818 1.2137 2.2777 2.7068 2.5189 3.9300
-0.0818 1.2137 2.2777 2.7068 2.5189 1.5884 3.9500
1.2137 2.2777 2.7068 2.5189 1.5884 -0.0364 3.9600
2.2777 2.7068 2.5189 1.5884 -0.0364 -1.9017 3.9700
2.7068 2.5189 1.5884 -0.0364 -1.9017 -2.8039 3.9800
2.5189 1.5884 -0.0364 -1.9017 -2.8039 -2.7389 3.9900
1.5884 -0.0364 -1.9017 -2.8039 -2.7389 -1.7531 3.9900
-0.0364 -1.9017 -2.8039 -2.7389 -1.7531 0.2561 4.0000
-1.9017 -2.8039 -2.7389 -1.7531 0.2561 2.3014 4.0000
-2.8039 -2.7389 -1.7531 0.2561 2.3014 3.3024 4.0000
-2.7389 -1.7531 0.2561 2.3014 3.3024 3.2423 4.0000
